,0,1
0,"[450.         455.45100523 460.87710117 466.23490569 471.39032967
 475.         471.39032967 466.23490569 460.87710117 455.45100523
 450.         444.54899477 439.12289883 433.76509431 428.60967033
 425.         428.60967033 433.76509431 439.12289883 444.54899477]","[350.         349.75939787 349.00389845 347.60450222 345.1761576
 340.         334.8238424  332.39549778 330.99610155 330.24060213
 330.         330.24060213 330.99610155 332.39549778 334.8238424
 340.         345.1761576  347.60450222 349.00389845 349.75939787]"
1,"[450.         456.54120628 463.0525214  469.48188683 475.6683956
 480.         475.6683956  469.48188683 463.0525214  456.54120628
 450.         443.45879372 436.9474786  430.51811317 424.3316044
 420.         424.3316044  430.51811317 436.9474786  443.45879372]","[352.         351.71127744 350.80467814 349.12540266 346.21138911
 340.         333.78861088 330.87459734 329.19532186 328.28872256
 328.         328.28872256 329.19532186 330.87459734 333.78861089
 340.         346.21138912 349.12540266 350.80467814 351.71127744]"
2,"[450.         457.84944754 465.66302568 473.3782642  480.80207472
 486.         480.80207472 473.3782642  465.66302568 457.84944754
 450.         442.15055246 434.33697432 426.6217358  419.19792528
 414.         419.19792528 426.6217358  434.33697432 442.15055246]","[354.4        354.05353293 352.96561376 350.95048319 347.45366694
 340.         332.54633306 329.04951681 327.03438624 325.94646707
 325.6        325.94646707 327.03438624 329.04951681 332.54633306
 340.         347.45366694 350.95048319 352.96561376 354.05353293]"
3,"[450.         459.41933704 468.79563082 478.05391704 486.96248967
 493.2        486.96248967 478.05391704 468.79563082 459.41933704
 450.         440.58066296 431.20436918 421.94608296 413.03751033
 406.8        413.03751033 421.94608296 431.20436918 440.58066296]","[357.28       356.86423951 355.55873652 353.14057983 348.94440033
 340.         331.05559967 326.85942017 324.44126348 323.13576049
 322.72       323.13576049 324.44126348 326.85942017 331.05559967
 340.         348.94440033 353.14057983 355.55873652 356.86423951]"
4,"[450.         461.30320445 472.55475698 483.66470044 494.3549876
 501.84       494.3549876  483.66470044 472.55475698 461.30320445
 450.         438.69679555 427.44524302 416.33529956 405.6450124
 398.16       405.6450124  416.33529956 427.44524302 438.69679555]","[360.736      360.23708742 358.67048382 355.76869579 350.73328039
 340.         329.26671961 324.23130421 321.32951618 319.76291258
 319.264      319.76291258 321.32951618 324.23130421 329.26671961
 340.         350.73328039 355.76869579 358.67048382 360.23708742]"
5,"[450.         463.56384534 477.06570837 490.39764053 503.22598512
 512.208      503.22598512 490.39764053 477.06570837 463.56384534
 450.         436.43615466 422.93429163 409.60235947 396.77401488
 387.792      396.77401488 409.60235947 422.93429163 436.43615466]","[364.8832     364.2845049  362.40458058 358.92243495 352.87993647
 340.         327.12006353 321.07756505 317.59541942 315.7154951
 315.1168     315.7154951  317.59541942 321.07756505 327.12006353
 340.         352.87993647 358.92243495 362.40458058 364.2845049 ]"
6,"[450.         466.27661441 482.47885005 498.47716864 513.87118215
 524.6496     513.87118215 498.47716864 482.47885005 466.27661441
 450.         433.72338559 417.52114995 401.52283136 386.12881785
 375.3504     386.12881785 401.52283136 417.52114995 433.72338559]","[369.85984    369.14140588 366.8854967  362.70692194 355.45592376
 340.         324.54407624 317.29307806 313.1145033  310.85859412
 310.14016    310.85859412 313.1145033  317.29307806 324.54407624
 340.         355.45592376 362.70692194 366.8854967  369.14140588]"
7,"[450.         469.53193729 488.97462006 508.17260237 526.64541858
 539.57952    526.64541858 508.17260237 488.97462006 469.53193729
 450.         430.46806271 411.02537994 391.82739763 373.35458142
 360.42048    373.35458142 391.82739763 411.02537994 430.46806271]","[375.831808   374.96968705 372.26259604 367.24830633 358.54710852
 340.         321.45289148 312.75169367 307.73740396 305.03031295
 304.168192   305.03031295 307.73740396 312.75169367 321.45289148
 340.         358.54710852 367.24830633 372.26259604 374.96968705]"
8,"[450.         473.43832475 496.76954407 519.80712284 541.9745023
 557.495424   541.9745023  519.80712284 496.76954407 473.43832475
 450.         426.56167525 403.23045593 380.19287716 358.0254977
 342.504576   358.0254977  380.19287716 403.23045593 426.56167525]","[382.9981696  381.96362446 378.71511525 372.6979676  362.25653022
 340.         317.74346978 307.3020324  301.28488475 298.03637554
 297.0018304  298.03637554 301.28488475 307.3020324  317.74346978
 340.         362.25653022 372.6979676  378.71511525 381.96362446]"
9,"[450.         478.1259897  506.12345289 533.76854741 560.36940275
 578.9945088  560.36940275 533.76854741 506.12345289 478.1259897
 450.         421.8740103  393.87654711 366.23145259 339.63059725
 321.0054912  339.63059725 366.23145259 393.87654711 421.8740103 ]","[391.59780352 390.35634936 386.4581383  379.23756112 366.70783626
 340.         313.29216374 300.76243888 293.5418617  289.64365064
 288.40219648 289.64365064 293.5418617  300.76243888 313.29216374
 340.         366.70783626 379.23756112 386.4581383  390.35634936]"
10,"[450.         483.75118764 517.34814346 550.52225689 582.44328331
 604.79341056 582.44328331 550.52225689 517.34814346 483.75118764
 450.         416.24881236 382.65185654 349.47774311 317.55671669
 295.20658944 317.55671669 349.47774311 382.65185654 416.24881236]","[401.91736422 400.42761923 395.74976595 387.08507334 372.04940351
 340.         307.95059649 292.91492666 284.25023405 279.57238077
 278.08263578 279.57238077 284.25023405 292.91492666 307.95059649
 340.         372.04940351 387.08507334 395.74976595 400.42761923]"
11,"[450.         490.50142517 530.81777216 570.62670827 608.93193997
 635.75209267 608.93193997 570.62670827 530.81777216 490.50142517
 450.         409.49857483 369.18222784 329.37329173 291.06806003
 264.24790733 291.06806003 329.37329173 369.18222784 409.49857483]","[414.30083707 412.51314307 406.89971915 396.50208801 378.45928422
 340.         301.54071578 283.49791199 273.10028085 267.48685693
 265.69916293 267.48685693 273.10028085 283.49791199 301.54071578
 340.         378.45928422 396.50208801 406.89971915 412.51314307]"
12,"[450.         498.6017102  546.98132659 594.75204993 640.71832796
 672.90251121 640.71832796 594.75204993 546.98132659 498.6017102
 450.         401.3982898  353.01867341 305.24795007 259.28167204
 227.09748879 259.28167204 305.24795007 353.01867341 401.3982898 ]","[429.16100448 427.01577169 420.27966297 407.80250561 386.15114106
 340.         293.84885894 272.19749439 259.72033703 252.98422831
 250.83899552 252.98422831 259.72033703 272.19749439 293.84885894
 340.         386.15114106 407.80250561 420.27966297 427.01577169]"
13,"[450.         508.32205224 566.3775919  623.70245991 678.86199355
 717.48301345 678.86199355 623.70245991 566.3775919  508.32205224
 450.         391.67794776 333.6224081  276.29754009 221.13800645
 182.51698655 221.13800645 276.29754009 333.6224081  391.67794776]","[446.99320538 444.41892603 436.33559557 421.36300673 395.38136927
 340.         284.61863073 258.63699327 243.66440443 235.58107397
 233.00679462 235.58107397 243.66440443 258.63699327 284.61863073
 340.         395.38136927 421.36300673 436.33559557 444.41892603]"
14,"[450.         519.98646269 589.65311028 658.44295189 724.63439226
 770.97961614 724.63439226 658.44295189 589.65311028 519.98646269
 450.         380.01353731 310.34688972 241.55704811 175.36560774
 129.02038386 175.36560774 241.55704811 310.34688972 380.01353731]","[468.39184645 465.30271123 455.60271468 437.63560808 406.45764313
 340.         273.54235687 242.36439192 224.39728532 214.69728877
 211.60815355 214.69728877 224.39728532 242.36439192 273.54235687
 340.         406.45764313 437.63560808 455.60271468 465.30271123]"
